Scenario_ID,Model,Scenario,Region,Variable,Unit,Year,Value
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,5.61838129547
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.853206
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.34074877692
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.93945898999999
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.141064944
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7911937
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,33.11714975789
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,5.91340195
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,World,Secondary Energy|Electricity,EJ/yr,2005,64.06207389516
GCAM 5.3 - R_MAC_35_n8,GCAM 5.3,R_MAC_35_n8,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,12.56303104
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.84472912088
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.0657704
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,5.61838129547
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.853206
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.34074877692
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.93945898999999
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.141064944
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7911937
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,33.11714975789
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,5.91340195
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,World,Secondary Energy|Electricity,EJ/yr,2005,64.06207389516
GCAM 5.3 - R_MAC_40_n8,GCAM 5.3,R_MAC_40_n8,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,12.56303104
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.84472912088
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.0657704
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,5.61838129547
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.853206
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.34074877692
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.93945898999999
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.141064944
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7911937
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,33.11714975789
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,5.91340195
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,World,Secondary Energy|Electricity,EJ/yr,2005,64.06207389516
GCAM 5.3 - R_MAC_45_n8,GCAM 5.3,R_MAC_45_n8,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,12.56303104
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.84472912088
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,2.0657704
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,5.61838129547
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.853206
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.34074877692
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.93945898999999
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.141064944
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7911937
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,33.11714975789
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,5.91340195
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,World,Secondary Energy|Electricity,EJ/yr,2005,64.06207389516
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,12.56303104
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.43956624
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87202118740625
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.433605056
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.60389997199999
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.14877824
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955303813125
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.9892094079999
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.877613255
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.323839488
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.044252312
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.43958224
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87202555607031
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.43360576
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.603901444
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.148817856
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955326603125
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.98506752
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.879643867
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.319759872
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.046291352
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.440448928
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.8734280733125
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.433606016
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.60389997199999
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.148774976
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955373753125
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.988907008
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.878930547
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.324429312
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.04698332
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.440175008
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87289701140625
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.433605056
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.60389997199999
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.14883756799999
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955334213125
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.987166464
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.874606075
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.322479616
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.042124184
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.43958224
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87202555607031
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.43360576
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.603901444
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.148817856
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955326603125
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.98506752
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.879643867
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.319759872
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.046291352
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.440704928
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87385625521875
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.433605056
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.60389997199999
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.148820256
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955334113125
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.987875008
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.876197339
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Secondary Energy|Electricity,EJ/yr,2005,65.323692032
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2005,13.0446742
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Asia,Secondary Energy|Electricity,EJ/yr,2005,16.43958224
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.87202555607031
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2005,4.43360576
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.603901444
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2005,4.312684112
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2005,1.89518738092517
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Latin America,Secondary Energy|Electricity,EJ/yr,2005,4.148817856
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2005,0.7955326603125
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,OECD Countries,Secondary Energy|Electricity,EJ/yr,2005,35.98506752
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2005,6.879643867
