Year,Scenario_ID,Model,Scenario,Region,Variable,Unit,Value,Variable_clean,Variable_standardized
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,84.6141,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,92.9371,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,37.3672,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,40.0053,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,42.5837,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,44.1988,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,50.3938,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,63.4144,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,76.5841,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,94.4851,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,111.7756,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,121.0145,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,124.7628,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,126.9423,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,129.3465,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,132.627,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,137.053,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,140.0497,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,141.9088,secondary energy|electricity,Electricity
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,143.1584,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,OECD Countries,Secondary Energy|Electricity,EJ/yr,147.0616,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,5.8075,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,6.7111,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,7.6194,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,9.28,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,12.3963,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,16.5028,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,20.8092,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,24.7238,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,28.0915,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,29.3926,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,30.1991,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,30.73,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,31.1853,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,31.8181,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,33.3771,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,34.6107,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,35.3729,secondary energy|electricity,Electricity
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,36.2688,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,38.5047,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,73.9326,secondary energy|electricity,Electricity
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,84.791,secondary energy|electricity,Electricity
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,97.2534,secondary energy|electricity,Electricity
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,107.9973,secondary energy|electricity,Electricity
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,132.8325,secondary energy|electricity,Electricity
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,172.6208,secondary energy|electricity,Electricity
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,208.4479,secondary energy|electricity,Electricity
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,254.0782,secondary energy|electricity,Electricity
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,297.2337,secondary energy|electricity,Electricity
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,323.5064,secondary energy|electricity,Electricity
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,339.05,secondary energy|electricity,Electricity
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,348.7652,secondary energy|electricity,Electricity
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,358.1263,secondary energy|electricity,Electricity
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,369.7545,secondary energy|electricity,Electricity
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,387.6257,secondary energy|electricity,Electricity
2085,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,401.1901,secondary energy|electricity,Electricity
2090,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,410.1441,secondary energy|electricity,Electricity
2095,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,418.5965,secondary energy|electricity,Electricity
2100,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Secondary Energy|Electricity,EJ/yr,437.7896,secondary energy|electricity,Electricity
2010,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.1038,secondary energy|electricity|gas,Electricity|Gas
2015,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.3803,secondary energy|electricity|gas,Electricity|Gas
2020,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.697,secondary energy|electricity|gas,Electricity|Gas
2025,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.9678,secondary energy|electricity|gas,Electricity|Gas
2030,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.7765,secondary energy|electricity|gas,Electricity|Gas
2035,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,1.8566,secondary energy|electricity|gas,Electricity|Gas
2040,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,1.0334,secondary energy|electricity|gas,Electricity|Gas
2045,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.2904,secondary energy|electricity|gas,Electricity|Gas
2050,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2055,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2060,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2065,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2070,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2075,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2080,AIM/CGE 2.1 - CD-LINKS_NPi2020_400,AIM/CGE 2.1,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
